
Миграционный прирост, человек, значение показателя за год, Всего, Всего
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;13;14;5;13;30;13;20;-4;6;7;38;38;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;6;3;5;-2;-3;-3;3;8;0;5;-1;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-7;67;43;91;50;46;88;36;288;22;150;124;
Кипенское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;;-46;141;-88;-2;45;103;68;116;2;89;268;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-11;-50;29;2;-6;45;68;58;115;-13;72;235;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-16;-17;-1;-21;-28;14;-1;-14;15;2;11;9;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;5;-33;30;23;22;31;69;72;100;-15;61;226;
международная;;;;;;;;;;;;;
Сельские поселения;11;4;112;-90;4;0;35;10;1;15;17;33;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;6;2;107;-85;5;-1;35;11;1;16;17;32;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;5;2;5;-5;-1;1;0;-1;;-1;0;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;16;-29;142;-67;26;31;104;82;101;0;78;259;
Копорское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;15;12;9;-1;-4;-14;14;37;-6;34;42;24;
в пределах России;;;;;;;;;;;;;
Сельские поселения;10;9;4;0;-6;-15;9;27;-4;30;35;12;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-2;-6;;-9;-12;-10;-8;10;-7;2;23;-7;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;12;15;4;9;6;-5;17;17;3;28;12;19;
международная;;;;;;;;;;;;;
Сельские поселения;5;3;5;-1;2;1;5;10;-2;4;7;12;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;4;3;4;0;2;1;5;10;-1;4;7;12;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;;1;-1;;;;0;-1;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;17;18;9;8;8;-4;22;27;1;32;19;31;
Лаголовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;1;-16;97;-129;-17;-52;86;40;26;76;80;135;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-3;-20;-18;-15;-19;-53;60;62;22;58;67;111;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-9;-14;-10;-14;-5;-6;15;-8;10;8;4;24;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;6;-6;-8;-1;-14;-47;45;70;12;50;63;87;
международная;;;;;;;;;;;;;
Сельские поселения;4;4;115;-114;2;1;26;-22;4;18;13;24;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;3;1;111;-108;2;0;27;-24;5;14;12;24;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;3;4;-6;;1;-1;2;-1;4;1;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;10;-2;107;-115;-12;-46;71;48;16;68;76;111;
Лопухинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;4;34;-5;2;-48;1;-5;-38;-13;0;30;74;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-2;18;-6;-5;-49;-6;-18;-24;-16;-6;23;68;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;3;-3;-11;-1;-16;-12;-8;-4;-19;-7;8;-3;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-5;21;5;-4;-33;6;-10;-20;3;1;15;71;
международная;;;;;;;;;;;;;
Сельские поселения;6;16;1;7;1;7;13;-14;3;6;7;6;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;6;16;-1;7;1;7;13;-13;3;6;6;6;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;2;;;;;-1;;;1;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;1;37;6;3;-32;13;3;-34;6;7;22;77;
Оржицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;9;9;28;-4;44;-38;4;-1;62;-36;45;74;
в пределах России;;;;;;;;;;;;;
Сельские поселения;3;2;24;-15;14;-39;0;7;59;-21;36;69;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-1;-14;-15;-5;7;-12;-4;1;-2;9;-4;10;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;4;16;39;-10;7;-27;4;6;61;-30;40;59;
международная;;;;;;;;;;;;;
Сельские поселения;6;7;4;11;30;1;4;-8;3;-15;9;5;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;6;6;4;10;29;0;3;-6;3;-15;9;3;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;;1;1;1;1;-2;0;0;;2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;10;23;43;1;37;-26;8;-2;64;-45;49;64;
Ропшинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;5;11;12;35;51;90;142;83;251;;250;446;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-9;0;-5;33;29;78;115;82;253;;227;414;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-11;-1;-6;-9;12;10;13;23;34;;18;78;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;2;1;1;42;17;68;102;59;219;;209;336;
международная;;;;;;;;;;;;;
Сельские поселения;14;11;17;2;22;12;27;1;-2;;23;32;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;10;8;13;4;22;13;28;3;0;;23;31;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;4;3;4;-2;0;-1;-1;-2;-2;;;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;16;12;18;44;39;80;129;60;217;;232;368;
Русско-Высоцкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-16;-32;-19;-26;-17;-31;37;5;-20;-57;-8;13;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-25;-31;-24;-35;-27;-36;30;4;-28;-50;-12;0;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-15;-18;-10;-23;3;1;7;-6;-15;-4;-19;-10;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-10;-13;-14;-12;-30;-37;23;10;-13;-46;7;10;
международная;;;;;;;;;;;;;
Сельские поселения;9;-1;5;9;10;5;7;1;8;-7;4;13;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;8;-5;3;8;14;3;6;6;7;-7;4;14;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;4;2;1;-4;2;1;-5;1;;;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-1;-14;-9;-3;-20;-32;30;11;-5;-53;11;23;
Лужский муниципальный район;;;;;;;;;;;;;
Лужский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;493;244;-164;481;-3;-69;-426;-36;-483;-505;-374;-361;
в пределах России;;;;;;;;;;;;;
Муниципальный район;379;-88;-140;192;-213;-322;-531;-297;-512;-574;-507;-362;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;-73;-167;-87;-114;-107;-152;-207;-251;-238;-183;-144;-172;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;452;79;-53;306;-106;-170;-324;-46;-274;-391;-363;-190;
международная;;;;;;;;;;;;;
Муниципальный район;114;332;-24;289;210;253;105;261;29;69;133;1;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;110;292;11;278;206;245;96;264;36;58;114;2;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;4;40;-35;11;4;8;9;-3;-7;11;19;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;566;411;-77;595;104;83;-219;215;-245;-322;-230;-189;
Лужское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;38;90;-73;162;20;52;-95;156;19;;-199;-175;
в пределах России;;;;;;;;;;;;;
Городские поселения;6;2;-48;65;-44;-37;-112;97;-1;;-216;-172;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;;16;21;10;32;-31;-29;-74;-26;;-105;-75;
межрегиональная;;;;;;;;;;;;;
Городские поселения;6;-14;-69;55;-76;-6;-83;171;25;;-111;-97;
международная;;;;;;;;;;;;;
Городские поселения;32;88;-25;97;64;89;17;59;20;;17;-3;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;36;98;-24;95;69;79;19;61;23;;20;-4;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-4;-10;-1;2;-5;10;-2;-2;-3;;-3;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;38;74;-94;152;-12;83;-66;230;45;;-94;-100;
Толмачевское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-55;-155;-102;2;-2;-13;-56;-62;-56;44;-13;13;
в пределах России;;;;;;;;;;;;;
Городские поселения;-65;-172;-105;-22;-13;-25;-58;-78;-58;28;-33;6;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-47;-65;-19;-24;-19;-18;-45;-34;-32;16;-9;2;
межрегиональная;;;;;;;;;;;;;
Городские поселения;-18;-107;-86;2;6;-7;-13;-44;-26;12;-24;4;
международная;;;;;;;;;;;;;
Городские поселения;10;17;3;24;11;12;2;16;2;16;20;7;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;10;18;3;21;11;9;1;18;4;15;20;4;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;;-1;;3;0;3;1;-2;-2;1;0;3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;-8;-90;-83;26;17;5;-11;-28;-24;28;-4;11;
Володарское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;21;13;13;28;-16;-11;-48;17;-51;;-31;-6;
в пределах России;;;;;;;;;;;;;
Сельские поселения;18;9;9;15;-18;-21;-49;7;-42;;-29;-5;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-1;-2;5;3;-8;-5;-15;-1;-22;;-3;-4;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;19;11;4;12;-10;-16;-34;8;-20;;-26;-1;
международная;;;;;;;;;;;;;
Сельские поселения;3;4;4;13;2;10;1;10;-9;;-2;-1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;4;4;4;12;3;8;1;12;-6;;-1;-1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;-1;;;1;-1;2;;-2;-3;;-1;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;22;15;8;25;-8;-6;-33;18;-29;;-28;-2;
Волошовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;33;12;-2;11;-14;-1;-18;-41;-28;0;-11;-19;
в пределах России;;;;;;;;;;;;;
Сельские поселения;24;-2;-5;8;-17;-11;-19;-45;-22;-4;-11;-26;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;9;-17;-8;0;1;-13;-16;-25;-6;-2;0;-9;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;15;15;3;8;-18;2;-3;-20;-16;-2;-11;-17;
международная;;;;;;;;;;;;;
Сельские поселения;9;14;3;3;3;10;1;4;-6;4;0;7;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;5;11;1;4;0;11;2;4;-6;5;0;7;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;4;3;2;-1;3;-1;-1;;;-1;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;24;29;6;11;-15;12;-2;-16;-22;2;-11;-10;
Дзержинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;48;43;16;36;-7;-5;13;26;21;;-1;19;
в пределах России;;;;;;;;;;;;;
Сельские поселения;41;28;14;14;-24;-18;-3;10;11;;-3;18;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;8;-7;-14;-11;-18;-7;8;6;-10;;-4;10;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;33;35;28;25;-6;-11;-11;4;21;;1;8;
международная;;;;;;;;;;;;;
Сельские поселения;7;15;2;22;17;13;16;16;10;;2;1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;7;14;2;22;15;11;13;16;10;;2;-1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;;;2;2;3;;0;;;2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;40;50;30;47;11;2;5;20;31;;3;9;
Заклинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;46;57;19;39;44;37;-16;50;-119;-40;23;12;
в пределах России;;;;;;;;;;;;;
Сельские поселения;39;39;17;24;21;18;-30;34;-121;-46;3;12;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-3;23;-5;-4;7;24;-22;30;-47;-6;7;-10;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;42;16;22;28;14;-6;-8;4;-74;-40;-4;22;
международная;;;;;;;;;;;;;
Сельские поселения;7;18;2;15;23;19;14;16;2;6;20;0;
